graph_iter,dispatch_key,dispatch_id,ordinal,total,job_name,module_name,target,vmfb_path,planned_start_us,eligible_us,submit_us,complete_us,residency_us,dep_slip_us,planned_duration_us,ready_us,start_us,end_us,queue_delay_us,run_us,total_latency_us
0,dronet0_dispatch_0,0,1,1,dronet0,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,0,0,282,1272,1272,0,583,0,282,1272,282,990,1272
0,mlp0_dispatch_0,0,1,1,mlp0,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,0,0,1316,1405,1405,0,63,0,1316,1405,1316,89,1405
0,mlp0_dispatch_1,1,1,1,mlp0,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,63,1405,1427,1513,108,1342,66,1405,1427,1513,22,86,1450
0,mlp1_dispatch_0,0,1,1,mlp1,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,10000,10000,10001,10121,121,0,63,10000,10001,10121,1,120,121
0,mlp1_dispatch_1,1,1,1,mlp1,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,10063,10121,10144,10203,82,58,66,10121,10144,10203,23,59,140
0,mlp2_dispatch_0,0,1,1,mlp2,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,20000,20000,20001,20089,89,0,63,20000,20001,20089,1,88,89
0,mlp2_dispatch_1,1,1,1,mlp2,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,20063,20089,20109,20181,92,26,66,20089,20109,20181,20,72,118
0,dronet0_dispatch_1,1,1,1,dronet0,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,583,1272,1333,26891,25619,689,22767,1272,1333,26891,61,25558,26308
0,mlp0_dispatch_2,2,1,1,mlp0,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,129,1513,26927,27023,25510,1384,65,1513,26927,27023,25414,96,26894
0,mlp1_dispatch_2,2,1,1,mlp1,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,10129,10203,27047,27122,16919,74,65,10203,27047,27122,16844,75,16993
0,mlp2_dispatch_2,2,1,1,mlp2,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,20129,20181,27143,27237,7056,52,65,20181,27143,27237,6962,94,7108
0,mlp0_dispatch_3,3,1,1,mlp0,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,194,27023,30003,30108,3085,26829,78,27023,30003,30108,2980,105,29914
0,mlp0_dispatch_4,4,1,1,mlp0,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,272,30108,30313,30395,287,29836,64,30108,30313,30395,205,82,30123
0,mlp1_dispatch_3,3,1,1,mlp1,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,10194,27122,30414,30485,3363,16928,78,27122,30414,30485,3292,71,20291
0,mlp1_dispatch_4,4,1,1,mlp1,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,10272,30485,30502,30588,103,20213,64,30485,30502,30588,17,86,20316
0,dronet0_dispatch_2,2,1,1,dronet0,dronet$async_dispatch_2_embedded_elf_riscv_64_dronet$async_dispatch_2_conv_32x27x27x3x3_f32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,23349,27237,27261,30591,3354,3888,3194,27237,27261,30591,24,3330,7242
0,mlp2_dispatch_3,3,1,1,mlp2,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,20194,27237,30613,30672,3435,7043,78,27237,30613,30672,3376,59,10478
0,mlp2_dispatch_4,4,1,1,mlp2,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,20272,30672,30696,30748,76,10400,64,30672,30696,30748,24,52,10476
0,dronet0_dispatch_3,3,1,1,dronet0,dronet$async_dispatch_3_embedded_elf_riscv_64_dronet$async_dispatch_3_elementwise_32x27x27_i8xf32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,26543,30748,30772,31886,1138,4205,1024,30748,30772,31886,24,1114,5343
0,mlp3_dispatch_0,0,1,1,mlp3,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,30000,30000,31910,31987,1987,0,63,30000,31910,31987,1910,77,1987
0,mlp3_dispatch_1,1,1,1,mlp3,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,30063,31987,32007,32080,93,1924,66,31987,32007,32080,20,73,2017
0,mlp4_dispatch_0,0,1,1,mlp4,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,40000,40000,40003,40085,85,0,63,40000,40003,40085,3,82,85
0,mlp4_dispatch_1,1,1,1,mlp4,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,40063,40085,40104,40157,72,22,66,40085,40104,40157,19,53,94
0,dronet0_dispatch_4,4,1,1,dronet0,dronet$async_dispatch_4_embedded_elf_riscv_64_dronet$async_dispatch_4_conv_32x14x14x32x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,27567,31886,31924,46965,15079,4319,14513,31886,31924,46965,38,15041,19398
0,mlp3_dispatch_2,2,1,1,mlp3,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,30129,32080,46995,47080,15000,1951,65,32080,46995,47080,14915,85,16951
0,mlp4_dispatch_2,2,1,1,mlp4,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,40129,40157,47214,47291,7134,28,65,40157,47214,47291,7057,77,7162
0,mlp3_dispatch_3,3,1,1,mlp3,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,30194,47080,50003,50092,3012,16886,78,47080,50003,50092,2923,89,19898
0,mlp3_dispatch_4,4,1,1,mlp3,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,30272,50092,50113,50193,101,19820,64,50092,50113,50193,21,80,19921
0,dronet1_dispatch_0,0,1,1,dronet1,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,33300,50193,50212,50965,772,16893,583,50193,50212,50965,19,753,17665
0,mlp4_dispatch_3,3,1,1,mlp4,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,40194,47291,50984,51061,3770,7097,78,47291,50984,51061,3693,77,10867
0,mlp4_dispatch_4,4,1,1,mlp4,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,40272,51061,51079,51131,70,10789,64,51061,51079,51131,18,52,10859
0,mlp5_dispatch_0,0,1,1,mlp5,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,50000,50000,51147,51211,1211,0,63,50000,51147,51211,1147,64,1211
0,mlp5_dispatch_1,1,1,1,mlp5,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,50063,51211,51227,51297,86,1148,66,51211,51227,51297,16,70,1234
0,mlp6_dispatch_0,0,1,1,mlp6,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,60000,60000,60001,60059,59,0,63,60000,60001,60059,1,58,59
0,mlp6_dispatch_1,1,1,1,mlp6,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,60063,60059,60076,60129,70,0,66,60059,60076,60129,17,53,66
0,dronet0_dispatch_5,5,1,1,dronet0,dronet$async_dispatch_5_embedded_elf_riscv_64_dronet$async_dispatch_5_conv_32x14x14x32x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_5_embedded_elf_riscv_64_benchmark.vmfb,42079,46965,47311,63333,16368,4886,15683,46965,47311,63333,346,16022,21254
0,mlp7_dispatch_0,0,1,1,mlp7,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,70000,70000,70001,70068,68,0,63,70000,70001,70068,1,67,68
0,mlp7_dispatch_1,1,1,1,mlp7,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,70063,70068,70169,70259,191,5,66,70068,70169,70259,101,90,196
0,mlp8_dispatch_0,0,1,1,mlp8,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,80000,80000,80002,80079,79,0,63,80000,80002,80079,2,77,79
0,mlp8_dispatch_1,1,1,1,mlp8,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,80063,80079,80096,80167,88,16,66,80079,80096,80167,17,71,104
0,dronet1_dispatch_1,1,1,1,dronet1,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,33883,50965,63362,86155,35190,17082,22767,50965,63362,86155,12397,22793,52272
0,mlp5_dispatch_2,2,1,1,mlp5,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,50129,51297,86185,86266,34969,1168,65,51297,86185,86266,34888,81,36137
0,dronet1_dispatch_2,2,1,1,dronet1,dronet$async_dispatch_2_embedded_elf_riscv_64_dronet$async_dispatch_2_conv_32x27x27x3x3_f32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,56649,86266,86290,89498,3232,29617,3194,86266,86290,89498,24,3208,32849
0,mlp5_dispatch_3,3,1,1,mlp5,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,50194,86266,90002,90093,3827,36072,78,86266,90002,90093,3736,91,39899
0,mlp5_dispatch_4,4,1,1,mlp5,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,50272,90093,90113,90175,82,39821,64,90093,90113,90175,20,62,39903
0,dronet1_dispatch_3,3,1,1,dronet1,dronet$async_dispatch_3_embedded_elf_riscv_64_dronet$async_dispatch_3_elementwise_32x27x27_i8xf32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,59843,89498,90194,91262,1764,29655,1024,89498,90194,91262,696,1068,31419
0,mlp9_dispatch_0,0,1,1,mlp9,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,90000,90000,91283,91358,1358,0,63,90000,91283,91358,1283,75,1358
0,mlp9_dispatch_1,1,1,1,mlp9,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,90063,91358,91376,91431,73,1295,66,91358,91376,91431,18,55,1368
0,dronet3_dispatch_0,0,1,1,dronet3,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,99900,91262,91447,92178,916,0,583,91262,91447,92178,185,731,0
0,dronet0_dispatch_6,6,1,1,dronet0,dronet$async_dispatch_6_embedded_elf_riscv_64_dronet$async_dispatch_6_reduction_32x14x14x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_6_embedded_elf_riscv_64_benchmark.vmfb,57762,63333,89522,93533,30200,5571,3528,63333,89522,93533,26189,4011,35771
0,mlp6_dispatch_2,2,1,1,mlp6,mlp$async_dispatch_2_embedded_elf_riscv_64_mlp$async_dispatch_2_matmul_1x32x32_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_2_embedded_elf_riscv_64_benchmark.vmfb,60129,60129,93647,93734,33605,0,65,60129,93647,93734,33518,87,33605
0,dronet1_dispatch_4,4,1,1,dronet1,dronet$async_dispatch_4_embedded_elf_riscv_64_dronet$async_dispatch_4_conv_32x14x14x32x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,60867,91262,93758,111598,20336,30395,14513,91262,93758,111598,2496,17840,50731
0,dronet0_dispatch_7,7,1,1,dronet0,dronet$async_dispatch_7_embedded_elf_riscv_64_dronet$async_dispatch_7_elementwise_32x14x14_i8xf32xi8,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/IME/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_7_embedded_elf_riscv_64_benchmark.vmfb,61290,93734,111642,112072,18338,32444,303,93734,111642,112072,17908,430,50782
0,dronet3_dispatch_1,1,1,1,dronet3,dronet$async_dispatch_1_embedded_elf_riscv_64_dronet$async_dispatch_1_conv_32x56x56x3x3x3_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,100482,92178,92198,121459,29281,0,22866,92178,92198,121459,20,29261,20977
0,dronet0_dispatch_8,8,1,1,dronet0,dronet$async_dispatch_8_embedded_elf_riscv_64_dronet$async_dispatch_8_conv_64x7x7x32x3x3_i8xi8xi32,CPU_E,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_8_embedded_elf_riscv_64_benchmark.vmfb,61592,112072,112096,121542,9470,50480,7356,112072,112096,121542,24,9446,59950
0,mlp6_dispatch_3,3,1,1,mlp6,mlp$async_dispatch_3_embedded_elf_riscv_64_mlp$async_dispatch_3_matmul_1x2x32_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_3_embedded_elf_riscv_64_benchmark.vmfb,60194,93734,121500,121629,27895,33540,78,93734,121500,121629,27766,129,61435
0,mlp6_dispatch_4,4,1,1,mlp6,mlp$async_dispatch_4_embedded_elf_riscv_64_mlp$async_dispatch_4_elementwise_2_i8xf32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_4_embedded_elf_riscv_64_benchmark.vmfb,60272,121629,121655,121739,110,61357,64,121629,121655,121739,26,84,61467
0,dronet2_dispatch_0,0,1,1,dronet2,dronet$async_dispatch_0_embedded_elf_riscv_64_dronet$async_dispatch_0_elementwise_3x112x112_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/dronet/spacemit_x60/RVV/dronet.q.int8/benchmarks/vmfb/module_dronet$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,66600,121739,121760,122513,774,55139,583,121739,121760,122513,21,753,55913
0,mlp10_dispatch_0,0,1,1,mlp10,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,100000,100000,122535,122613,22613,0,63,100000,122535,122613,22535,78,22613
0,mlp10_dispatch_1,1,1,1,mlp10,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,100063,122613,122632,122705,92,22550,66,122613,122632,122705,19,73,22642
0,mlp11_dispatch_0,0,1,1,mlp11,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,110000,110000,122723,122784,12784,0,63,110000,122723,122784,12723,61,12784
0,mlp11_dispatch_1,1,1,1,mlp11,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,110063,122784,122801,122861,77,12721,66,122784,122801,122861,17,60,12798
0,mlp12_dispatch_0,0,1,1,mlp12,mlp$async_dispatch_0_embedded_elf_riscv_64_mlp$async_dispatch_0_elementwise_10_f32xi8,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_0_embedded_elf_riscv_64_benchmark.vmfb,120000,120000,122972,123049,3049,0,63,120000,122972,123049,2972,77,3049
0,mlp12_dispatch_1,1,1,1,mlp12,mlp$async_dispatch_1_embedded_elf_riscv_64_mlp$async_dispatch_1_matmul_1x32x10_i8xi8xi32,CPU_P,/root/mb_k1/gen/vmfb/mlp/spacemit_x60/RVV/mlp.q.int8/benchmarks/vmfb/module_mlp$async_dispatch_1_embedded_elf_riscv_64_benchmark.vmfb,120063,123049,123067,123123,74,2986,66,123049,123067,123123,18,56,3060
